strategy,forager,level,collection_num,obj_ID,point_value,distance,turning_angle,neighbor_value,used,time
clst,90,1,0,1,2.0,9.86154146165801,0.056278536288762004,0.2857142857142857,0,1.5676309893321692
clst,90,1,0,2,2.0,7.0710678118654755,-0.19739555984988078,0.2857142857142857,0,1.5676309893321692
clst,90,1,0,3,2.0,5.0,0.5880026035475675,0.2857142857142857,0,1.5676309893321692
clst,90,1,0,4,2.0,11.180339887498949,-0.519146114246523,0.282842712474619,0,1.5676309893321692
clst,90,1,0,5,2.0,3.5355339059327378,-0.19739555984988078,0.282842712474619,1,1.5676309893321692
clst,90,1,0,6,2.0,7.905694150420948,-0.6610431688506868,0.282842712474619,0,1.5676309893321692
clst,90,1,0,7,2.0,3.5,2.158798930342464,0.282842712474619,0,1.5676309893321692
clst,90,1,0,8,2.0,0.0,,0.2857142857142857,0,1.5676309893321692
clst,90,1,0,9,2.0,5.0,-0.982793723247329,0.2857142857142857,0,1.5676309893321692
clst,90,1,0,10,2.0,10.0,-0.982793723247329,0.282842712474619,0,1.5676309893321692
clst,90,1,0,11,2.0,13.5,-0.982793723247329,0.2857142857142857,0,1.5676309893321692
clst,90,1,0,12,2.0,3.5355339059327378,-1.7681918866447774,0.2857142857142857,0,1.5676309893321692
clst,90,1,0,13,2.0,7.905694150420948,-1.3045442776439713,0.282842712474619,0,1.5676309893321692
clst,90,1,0,14,2.0,5.0,-2.5535900500422257,0.282842712474619,0,1.5676309893321692
clst,90,1,0,15,2.0,7.0710678118654755,-1.7681918866447774,0.282842712474619,0,1.5676309893321692
clst,90,1,0,16,2.0,11.180339887498949,-1.446441332248135,0.2857142857142857,0,1.5676309893321692
clst,90,1,0,17,2.0,9.86154146165801,-2.02186598278342,0.282842712474619,0,1.5676309893321692
clst,90,1,0,18,2.0,38.82331773560833,-2.4244427599142058,0.2857142857142857,0,1.5676309893321692
clst,90,1,0,19,2.0,35.35533905932738,-2.4116929954380617,0.2857142857142857,0,1.5676309893321692
clst,90,1,0,20,2.0,35.0,-2.5535900500422257,0.2857142857142857,0,1.5676309893321692
clst,90,1,0,21,2.0,36.40054944640259,-2.2752903910371143,0.282842712474619,0,1.5676309893321692
clst,90,1,0,22,2.0,32.59601202601324,-2.476818158772448,0.282842712474619,0,1.5676309893321692
clst,90,1,0,23,2.0,33.354160160315836,-2.32679120198834,0.282842712474619,0,1.5676309893321692
clst,90,1,0,24,2.0,30.20347662107791,-2.6697316769222157,0.282842712474619,0,1.5676309893321692
clst,90,1,0,25,2.0,30.0,-2.5535900500422257,0.2857142857142857,0,1.5676309893321692
clst,90,1,0,26,2.0,30.4138126514911,-2.388441372627599,0.2857142857142857,0,1.5676309893321692
clst,90,1,0,27,2.0,31.622776601683793,-2.2318394956455836,0.282842712474619,0,1.5676309893321692
clst,90,1,0,28,2.0,32.89756829919196,-2.130736123909285,0.2857142857142857,0,1.5676309893321692
clst,90,1,0,29,2.0,27.613402542968153,-2.4629301628414804,0.2857142857142857,0,1.5676309893321692
clst,90,1,0,30,2.0,28.50438562747845,-2.2873380008913005,0.282842712474619,0,1.5676309893321692
clst,90,1,0,31,2.0,25.0,-2.5535900500422257,0.282842712474619,0,1.5676309893321692
clst,90,1,0,32,2.0,25.495097567963924,-2.356194490192345,0.282842712474619,0,1.5676309893321692
clst,90,1,0,33,2.0,26.92582403567252,-2.173083672929861,0.2857142857142857,0,1.5676309893321692
clst,90,1,0,34,2.0,22.073740054644116,-2.3250934107503634,0.282842712474619,0,1.5676309893321692
clst,90,1,0,35,2.0,26.405491853021786,1.8310604235619086,0.2857142857142857,0,1.5676309893321692
clst,90,1,0,36,2.0,25.495097567963924,1.9614033704925835,0.2857142857142857,0,1.5676309893321692
clst,90,1,0,37,2.0,20.615528128088304,1.9138202672155997,0.2857142857142857,0,1.5676309893321692
clst,90,1,0,38,2.0,30.4138126514911,1.993650252927837,0.282842712474619,0,1.5676309893321692
clst,90,1,0,39,2.0,22.638462845343543,2.0481417091685685,0.282842712474619,0,1.5676309893321692
clst,90,1,0,40,2.0,27.613402542968153,2.068139043141719,0.282842712474619,0,1.5676309893321692
clst,90,1,0,41,2.0,16.5,2.158798930342464,0.282842712474619,0,1.5676309893321692
clst,90,1,0,42,2.0,20.0,2.158798930342464,0.2857142857142857,0,1.5676309893321692
clst,90,1,0,43,2.0,25.0,2.158798930342464,0.2857142857142857,0,1.5676309893321692
clst,90,1,0,44,2.0,30.0,2.158798930342464,0.282842712474619,0,1.5676309893321692
clst,90,1,0,45,2.0,33.5,2.158798930342464,0.2857142857142857,0,1.5676309893321692
clst,90,1,0,46,2.0,22.638462845343543,-4.013729155663227,0.2857142857142857,0,1.5676309893321692
clst,90,1,0,47,2.0,27.613402542968153,-4.033726489636377,0.282842712474619,0,1.5676309893321692
clst,90,1,0,48,2.0,20.615528128088304,-3.879407713710258,0.282842712474619,0,1.5676309893321692
clst,90,1,0,49,2.0,25.495097567963924,-3.926990816987242,0.282842712474619,0,1.5676309893321692
clst,90,1,0,50,2.0,30.4138126514911,-3.9592376994224954,0.2857142857142857,0,1.5676309893321692
clst,90,1,0,51,2.0,26.405491853021786,-3.796647870056567,0.282842712474619,0,1.5676309893321692
clst,90,1,0,52,2.0,45.90479277809671,-3.1295086496605786,0.2857142857142857,0,1.5676309893321692
clst,90,1,0,53,2.0,43.01162633521314,-3.173839536025047,0.2857142857142857,0,1.5676309893321692
clst,90,1,0,54,2.0,40.311288741492746,-3.0727361642887487,0.2857142857142857,0,1.5676309893321692
clst,90,1,0,55,2.0,46.09772228646444,-3.262216322169896,0.282842712474619,0,1.5676309893321692
clst,90,1,0,56,2.0,39.528470752104745,-3.159134713647196,0.282842712474619,0,1.5676309893321692
clst,90,1,0,57,2.0,42.573465914816005,-3.2558469815512328,0.282842712474619,0,1.5676309893321692
clst,90,1,0,58,2.0,34.23813663153998,-3.0564332609700866,0.282842712474619,0,1.5676309893321692
clst,90,1,0,59,2.0,36.05551275463989,-3.141592653589793,0.2857142857142857,0,1.5676309893321692
clst,90,1,0,60,2.0,39.05124837953327,-3.248328326238929,0.2857142857142857,0,1.5676309893321692
clst,90,1,0,61,2.0,42.42640687119285,-3.338988213439674,0.282842712474619,0,1.5676309893321692
clst,90,1,0,62,2.0,44.9694340635948,-3.394050608813344,0.2857142857142857,0,1.5676309893321692
